home_team,ars,avl,bou,bha,bur,che,cry,eve,lei,liv,mci,mun,new,nor,shu,sou,tot,wat,whu,wol
ars,-,3-2,1-0,1-2,2-1,1-2,2-2,3-2,1-1,2-1,0-3,2-0,4-0,4-0,1-1,2-2,2-2,3-2,1-0,1-1
avl,1-0,-,1-2,2-1,2-2,1-2,2-0,2-0,1-4,1-2,1-6,0-3,2-0,1-0,0-0,1-3,2-3,2-1,0-0,0-1
bou,1-1,2-1,-,3-1,0-1,2-2,0-2,3-1,4-1,0-3,1-3,1-0,1-4,0-0,1-1,0-2,0-0,0-3,2-2,1-2
bha,2-1,1-1,2-0,-,1-1,1-1,0-1,3-2,0-2,1-3,0-5,0-3,0-0,2-0,0-1,0-2,3-0,1-1,1-1,2-2
bur,0-0,1-2,3-0,1-2,-,2-4,0-2,1-0,2-1,0-3,1-4,0-2,1-0,2-0,1-1,3-0,1-1,1-0,3-0,1-1
che,2-2,2-1,0-1,2-0,3-0,-,2-0,4-0,1-1,1-2,2-1,0-2,1-0,1-0,2-2,0-2,2-1,3-0,0-1,2-0
cry,1-1,1-0,1-0,1-1,0-1,2-3,-,0-0,0-2,1-2,0-2,0-2,1-0,2-0,0-1,0-2,1-1,1-0,2-1,1-1
eve,0-0,1-1,1-3,1-0,1-0,3-1,3-1,-,2-1,0-0,1-3,1-1,2-2,0-2,0-2,1-1,1-1,1-0,2-0,3-2
lei,2-0,4-0,3-1,0-0,2-1,2-2,3-0,2-1,-,0-4,0-1,0-2,5-0,1-1,2-0,1-2,2-1,2-0,4-1,0-0
liv,3-1,2-0,2-1,2-1,1-1,5-3,4-0,5-2,2-1,-,3-1,2-0,3-1,4-1,2-0,4-0,2-1,2-0,3-2,1-0
mci,3-0,3-0,2-1,4-0,5-0,2-1,2-2,2-1,3-1,4-0,-,1-2,5-0,5-0,2-0,2-1,2-2,8-0,2-0,0-2
mun,1-1,2-2,5-2,3-1,0-2,4-0,1-2,1-1,1-0,1-1,2-0,-,4-1,4-0,3-0,2-2,2-1,3-0,1-1,0-0
new,0-1,1-1,2-1,0-0,0-0,1-0,1-0,1-2,0-3,1-3,2-2,1-0,-,0-0,3-0,2-1,1-3,1-1,2-2,1-1
nor,2-2,1-5,1-0,0-1,0-2,2-3,1-1,0-1,1-0,0-1,3-2,1-3,3-1,-,1-2,0-3,2-2,0-2,0-4,1-2
shu,1-0,2-0,2-1,1-1,3-0,3-0,1-0,0-1,1-2,0-1,0-1,3-3,0-2,1-0,-,0-1,3-1,1-1,1-0,1-0
sou,0-2,2-0,1-3,1-1,1-2,1-4,1-1,1-2,0-9,1-2,1-0,1-1,0-1,2-1,3-1,-,1-0,2-1,0-1,2-3
tot,2-1,3-1,3-2,2-1,5-0,0-2,4-0,1-0,3-0,0-1,2-0,1-1,0-1,2-1,1-1,2-1,-,1-1,2-0,2-3
wat,2-2,3-0,0-0,0-3,0-3,1-2,0-0,2-3,1-1,3-0,0-4,2-0,2-1,2-1,0-0,1-3,0-0,-,1-3,2-1
whu,1-3,1-1,4-0,3-3,0-1,3-2,1-2,1-1,1-2,0-2,0-5,2-0,2-3,2-0,1-1,3-1,2-3,3-1,-,0-2
wol,0-2,2-1,1-0,0-0,1-1,2-5,2-0,3-0,0-0,1-2,3-2,1-1,1-1,3-0,1-1,1-1,1-2,2-0,2-0,-
